response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
EC__1__17__1__8	5500.07	4650.01	4479.43	5481.79	4626.40	4338.48	4008.25
EC__1__17__2__1	0	0	0	0	0	0	0
EC__1__17__4__1	2917.73	5664.69	4165.33	4360.94	5283.07	3873.55	5340.74
EC__1__17__4__2	6000.08	7849.35	5860.84	9738.22	6766.90	6744.31	7621.25
EC__1__17__7__1	4326.41	3845.77	4168.37	4474.06	3675.86	4178.58	2641.66
EC__1__17__7__3	4326.41	3845.77	4168.37	4474.06	3675.86	4178.58	2641.66
EC__1__17__99__6	884.79	451.16	793.86	175.70	200.09	194.32	 53.08
EC__1__18__1__1	 2	56	 1	21	 2	 0	39
EC__1__18__1__2	4000.94	3656.10	3488.79	3977.26	3332.54	3130.83	2605.08
EC__1__18__1__3	 7.00	 3.43	 0.00	 1.00	28.96	 1.00	 0.28
EC__1__18__6__1	 215.73	 421.00	 426.66	 255.58	 199.73	1937.33	  99.91
EC__1__2__1__10	2569.56	3757.93	1890.56	2668.48	3175.21	1306.40	2589.78
EC__1__2__1__11	4410.57	3983.00	4114.77	4492.96	3887.99	4181.65	2658.33
EC__1__2__1__12	4647.74	4049.43	4251.77	4532.54	3943.78	4240.65	2712.46
EC__1__2__1__16	 35.92	 26.86	  8.75	  6.25	135.92	  1.00	 17.96
EC__1__2__1__18	 13	107	  3	109	 11	 23	 20
EC__1__2__1__19	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
EC__1__2__1__2	711.07	230.73	400.66	179.83	235.17	 77.33	125.62
EC__1__2__1__20	 35.92	 23.43	  8.75	  6.25	106.71	  1.00	 16.88
EC__1__2__1__21	 93.54	  6.43	346.55	128.59	291.46	615.50	 11.08
EC__1__2__1__22	 93.54	  6.43	346.55	128.59	291.46	615.50	 11.08
EC__1__2__1__24	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
EC__1__2__1__27	 13	107	  3	109	 11	 23	 20
EC__1__2__1__28	0	0	0	0	0	0	0
EC__1__2__1__3	1399.57	2205.83	1570.08	2583.92	2823.91	1130.50	1574.55
EC__1__2__1__38	4320.68	2740.50	3992.77	4491.86	3687.92	4204.98	2548.25
EC__1__2__1__39	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 0.28
EC__1__2__1__4	0	0	0	0	0	0	0
EC__1__2__1__41	4336.50	3889.00	3995.44	4434.36	3839.74	4115.65	2595.58
EC__1__2__1__43	 4.00	 2.00	50.00	 3.00	12.66	 0.00	 2.00
EC__1__2__1__46	0	0	0	0	0	0	0
EC__1__2__1__5	0	0	0	0	0	0	0
EC__1__2__1__54	0	0	0	0	0	0	0
EC__1__2__1__58	7	0	0	1	0	1	0
EC__1__2__1__60	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 0.28
EC__1__2__1__68	0	0	0	0	0	0	0
EC__1__2__1__70	1552.57	1247.93	1616.33	 945.75	1575.45	 351.50	 943.66
EC__1__2__1__71	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
EC__1__2__1__72	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
EC__1__2__1__76	20.67	52.00	16.33	23.67	 6.00	33.00	10.00
EC__1__2__1__79	 35.92	 23.43	  8.75	  6.25	106.71	  1.00	 16.88
EC__1__2__1__8	 2.00	 4.43	 0.00	 2.00	29.21	 1.00	 1.08
EC__1__2__1__81	0.4	0.0	0.0	0.0	0.0	0.0	6.0
EC__1__2__1__87	 29	 84	 10	 50	 12	100	 15
EC__1__2__1__88	167.53	 41.43	528.71	136.93	299.46	621.50	  9.08
EC__1__2__1__9	 59.00	133.06	  8.40	  3.80	200.30	  6.40	  4.00
EC__1__2__1__91	 0.00	 3.43	 0.00	 0.00	28.96	 0.00	 0.28
EC__1__2__3__3	 81.16	167.23	  2.40	 18.57	354.46	  3.07	 18.67
EC__1__2__4__1	417.65	505.91	302.78	238.96	346.79	648.80	196.42
EC__1__2__4__2	28.17	11.43	58.33	 5.00	47.21	 5.00	 4.08
EC__1__2__4__4	131.84	201.00	168.46	336.01	 33.75	 24.25	 14.00
EC__1__2__5__1	 54.64	175.43	 70.58	 23.92	 52.71	  7.25	  2.08
EC__1__2__7__1	6821.31	7337.27	6547.37	6921.56	4498.70	5672.08	4531.16
EC__1__2__7__11	5886.50	2977.68	6236.84	3793.14	1693.98	5664.66	 745.66
EC__1__2__7__3	9202.98	4019.70	9849.92	5386.26	2433.48	8929.82	1147.66
EC__1__2__7__4	 509.23	1042.51	1026.66	1010.08	2419.00	 509.33	 281.75
EC__1__2__7__5	 22.9	 42.0	106.0	 15.5	 45.0	 24.5	 30.5
EC__1__2__7__7	2	0	0	0	0	0	0
EC__1__2__7__8	4258.94	2992.04	3729.90	3775.18	2321.00	4361.82	 831.50
EC__1__2__99__2	4180.80	3893.93	3815.60	3328.30	5692.50	3996.30	2190.50
EC__1__2__99__5	 25.07	193.00	 10.33	345.67	 10.25	248.00	 77.75
EC__1__2__99__7	 8.4	44.0	 4.0	 5.0	 3.0	28.0	19.0
EC__1__20__1__1	1	0	5	0	0	0	0
EC__1__20__4__1	4078.11	4422.86	3829.75	5383.87	4453.24	3718.25	4596.00
EC__1__20__4__3	0.5	0.0	0.0	0.0	0.0	0.0	0.0
EC__1__21__4__1	 32.00	157.00	 86.00	173.65	123.25	267.00	165.75
EC__1__21__4__2	 158.30	 962.10	 129.60	 913.29	 161.73	 672.30	1129.00
EC__1__21__4__4	 29.79	108.03	 29.98	 55.32	 42.25	192.99	111.75
EC__1__21__98__1	 69.5	  0.0	197.5	  3.0	 19.0	 91.0	  9.0
EC__1__3__1__1	660.80	 91.86	554.00	 43.25	308.92	 85.00	 76.06
EC__1__3__1__10	 426.68	 210.43	 882.21	 524.98	 432.96	1139.75	  33.08
EC__1__3__1__104	0	0	0	0	0	0	0
EC__1__3__1__106	1167.23	 870.51	 790.66	 965.58	 617.74	 780.33	 315.38
EC__1__3__1__12	4328.53	3998.00	4071.97	4549.07	3781.49	4196.65	2642.58
EC__1__3__1__14	4376.90	4091.57	4056.44	4690.96	3770.11	4207.65	2678.25
EC__1__3__1__20	  5	 60	  0	103	  0	 15	 12
EC__1__3__1__22	 375.84	 167.00	 822.55	 487.51	 300.75	1136.75	  12.00
EC__1__3__1__25	0	0	0	0	0	0	0
EC__1__3__1__28	 2.00	 4.43	 0.00	 2.00	29.21	 1.00	 1.08
EC__1__3__1__31	 885	1155	   8	1738	  10	 234	 943
EC__1__3__1__33	  5	 60	  0	103	  0	 15	 12
EC__1__3__1__34	 41.33	130.44	 21.66	151.33	 56.21	 85.33	 41.08
EC__1__3__1__43	0	0	0	0	0	0	0
EC__1__3__1__44	 456.00	 209.33	 493.00	 145.00	1248.00	 230.00	  52.00
EC__1__3__1__45	0	0	0	0	0	0	0
EC__1__3__1__54	1167.23	 870.51	 790.66	 965.58	 617.74	 780.33	 315.38
