response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
EC__1__14__13__127	 0.14	 0.00	 3.43	 0.00	 0.64	 4.39	 0.00	 0.00	28.96	 0.00	 0.28	 0.00
EC__1__14__13__129	0	9	0	0	0	0	0	0	0	0	0	0
EC__1__14__13__149	 0.28	 0.00	 6.86	 0.00	 1.28	 8.78	 0.00	 0.00	57.92	 0.00	 0.56	 0.00
EC__1__14__13__165	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__13__2	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__13__22	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__13__40	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__13__59	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC__1__14__13__7	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__13__82	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__13__83	0.0	0.5	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0
EC__1__14__13__9	0	9	0	0	0	0	0	0	0	0	0	0
EC__1__14__14__5	 0.14	 0.00	 3.43	 0.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 1.08	 0.00
EC__1__14__14__9	 5.80	16.66	51.45	 9.32	 3.89	 6.80	 0.00	18.66	40.21	98.66	48.28	11.00
EC__1__14__15__12	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__15__3	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__16__1	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__18__1	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__19__1	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__19__2	 0	 0	32	 0	 0	 0	 0	 0	 0	 0	 0	 0
EC__1__14__19__3	0.0	9.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
EC__1__14__20__3	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__99__44	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__14__99__46	 0.14	 0.00	 3.43	 0.00	 0.64	 4.39	 0.00	 0.00	28.96	 0.00	 0.28	 0.00
EC__1__14__99__48	0	0	0	0	0	0	0	2	0	0	0	0
EC__1__14__99__50	0	1	0	0	0	0	0	0	0	0	0	0
