	F0008	F0014	F0026	F0032	F0052	F0056	F0058	F0066	F0076	F0078	F0082	F0084	F0098	F0099	F0100	F0117	F0130	F0138	F0139	F0141	F0145	F0148	F0153	F0155	F0170	F0171	F0177	F0181	H0001	H0013	H0020	H0054	H0055	H0060	H0063	H0065	H0070	H0074	H0085	H0086	H0148	H0149	H0172	H0180	H0202	H0210	H0211	H0270	H0277	H0280	H0281	H0289	H0303	H0322	H0323	H0349	H0368	H0372	H0377	H0391	H0392	H0407	H0427	H0447	H0456	H0475	H0479	H0741
H0085	1.274664352	1.176227694	1.105798376	1.177526378	0.394674626	1.494179996	1.35569215	1.189918918	1.283875334	1.432170236	1.665962122	1.269172558	1.476113402	1.290490736	2.040995178	1.986964248	1.021354046	1.647348836	1.23833081	1.404516916	1.29457301	1.277038754	1.45540039	1.469147948	1.381574482	1.320998186	1.3062135	1.184165778	1.608429456	1.312948696	1.475668738	1.710915834	0.630279238	2.027199198	1.426044104	1.466349132	1.485036762	2.046823652	0.0	1.306076446	1.250223694	1.302859952	1.55014037	0.565373168	1.353628808	1.353047632	1.37035665	1.83190128	1.243349438	1.35640582	1.592549582	0.85434207	1.338696728	1.254213528	1.473546322	1.520200498	1.700421712	1.504484606	1.277867768	1.398855116	1.384021268	1.41402523	0.741217044	1.224292282	1.327716916	1.454716332	1.444987988	1.49550991
H0086	1.305109702	1.209878892	1.060487906	1.03198902	1.300348504	1.220045574	0.744418296	1.038910284	0.965980668	1.045431362	1.921438336	1.349830168	1.537122872	1.211365806	1.48548172	1.62504207	1.068172468	1.58078379	1.390778536	1.108151662	1.132505252	1.173697348	1.482025304	1.45742339	1.441590616	1.32566266	1.337227394	1.265556	1.54848035	0.609856918	1.726160852	1.9497711	1.219680052	1.975777276	1.38454603	1.461363518	1.516844988	2.281136694	1.306076446	0.0	1.474171588	1.24752481	1.825637076	1.250349954	1.121196454	0.931821946	0.844646196	1.757312722	1.070448844	0.899873466	1.868219528	1.586239848	1.235850482	1.065162826	1.490066728	1.146276452	1.662512386	0.701514376	1.114041278	1.398827322	1.292390394	1.445019348	1.30398265	0.738146068	0.79717483	1.620590134	1.37025141	1.344934312
H0148	1.447312406	1.408073752	1.318902674	1.112316916	1.22778278	1.478269174	1.543346568	1.303662396	1.235368192	1.638304614	1.707349732	1.364179972	1.473512256	1.316117494	2.088955572	2.112535794	1.179876132	1.42544499	1.3178935	1.186688542	1.413050896	1.334046572	1.24108542	1.209233918	1.123841976	1.430624308	1.282946754	1.188260872	1.721722786	1.442054554	1.630885828	0.8816138	1.216988892	1.984079708	1.561946466	1.474592622	1.52698204	1.773237578	1.250223694	1.474171588	0.0	1.513865978	1.471397436	1.237368126	1.445427282	1.313757914	1.60090028	1.853535962	1.420306512	1.536834286	1.553201284	1.3278322	1.361600362	1.441158966	1.569955292	1.517986552	1.780303694	1.664650256	1.520004366	1.544147798	1.528705782	1.4422868	1.19859275	1.462665784	1.512133518	1.493221642	1.578831814	1.462000656
H0149	0.818214332	1.128429974	1.06543974	1.104887234	1.382428922	1.135340596	1.346724714	1.338109254	1.48551489	1.42456716	1.85920477	1.247456746	1.451059174	1.208136784	1.947234078	1.978417376	1.031479082	1.494886408	1.479338926	1.470048732	1.348783034	1.519483454	0.96929037	1.611189968	1.433905434	1.42910879	1.444936884	1.384350718	1.418324816	1.321024296	1.854328666	1.925813642	1.450976294	1.900817862	1.754903836	1.357071328	1.320063022	2.352719984	1.302859952	1.24752481	1.513865978	0.0	1.447170978	1.415391032	1.373224756	1.209273272	1.400143142	1.5235565	1.288086342	1.221329716	1.535201518	1.674622898	0.875242548	1.366417108	1.382382238	1.751481422	1.442681596	1.55010431	0.700273544	0.877594836	1.253639204	1.428164306	1.541216024	1.158233266	1.40013276	1.243451008	0.645862652	1.199563694
H0172	1.087272958	1.32543272	1.598788814	1.731100212	1.536634368	1.771020954	1.82152702	1.708580972	1.858074024	1.79777713	1.639048648	1.076821256	1.165842392	1.624462898	2.460431984	2.307794466	1.649045184	1.849210074	1.564425416	1.658566378	1.23971934	1.633022576	1.396667408	1.504310874	1.453530756	1.155521956	1.544282134	1.74503724	2.059341778	1.838705394	1.7123982	1.586604752	1.525158184	2.243598004	1.66197375	0.953759074	1.008720596	1.83580409	1.55014037	1.825637076	1.471397436	1.447170978	0.0	1.500668038	1.412968798	2.005134462	1.822041064	2.07591835	1.538039212	1.907101882	0.74441482	1.52295208	1.506773134	1.42171105	1.025387904	1.889413348	2.058375822	2.003274088	1.608578578	1.866331654	1.84355935	1.798967404	1.491672786	1.723350236	1.887937154	0.920543914	1.652314518	1.775453764
H0180	1.291178432	1.079405926	1.001852676	1.169775682	0.499885874	1.453676268	1.257254518	0.97397641	1.113813918	1.31676654	1.591060702	1.064788166	1.198882638	1.151029664	2.014247858	1.989428588	1.070278382	1.61821182	0.969979998	1.415875396	1.068770022	0.985676606	1.435455134	1.302892988	1.143786826	1.090583886	1.130945312	1.172193718	1.646810752	1.188126748	1.206612222	1.589281622	0.36721523	2.028539846	1.102930396	1.319886172	1.333830198	1.948447408	0.565373168	1.250349954	1.237368126	1.415391032	1.500668038	0.0	1.171842268	1.332395472	1.221206714	1.8501128	1.11053397	1.280052576	1.54252793	0.698007818	1.35763848	1.106763872	1.22817471	1.355802698	1.77569592	1.38269995	1.254632252	1.538994748	1.374881388	1.464952474	0.508526564	1.223323638	1.213419052	1.45634112	1.561285732	1.502889182
H0202	1.170548852	0.599391638	0.999405264	1.173593446	1.281574198	1.442299308	1.10519667	1.005029134	1.004314522	0.65258252	1.868577682	0.992187998	1.013395294	1.017106404	1.795581206	1.837818936	1.343920262	1.65338314	1.30261195	1.182362644	0.516959978	0.992455698	1.221538938	1.213517748	1.105120426	0.624325746	1.137579992	1.213841618	1.75870946	1.130474112	1.55343861	1.777501646	1.185242294	2.086430598	1.233339804	1.122847992	1.381261446	2.077020824	1.353628808	1.121196454	1.445427282	1.373224756	1.412968798	1.171842268	0.0	1.207239296	0.978374222	1.868532432	1.084352618	1.130875704	1.486206218	1.466181186	1.177024088	0.405281336	1.213059914	1.215824318	1.860546728	1.179088602	1.253897644	1.645491184	1.543906828	1.568158706	1.153864068	1.398327146	1.274841628	1.375404804	1.467082876	1.509806286
H0210	1.388792828	1.194119474	1.025464244	0.746913986	1.398633594	1.18712348	0.970871922	1.06835805	0.751354598	1.118568076	2.031309034	1.439498082	1.536278682	1.011568488	1.454296662	1.680226284	1.072724906	1.474404212	1.436123038	1.096544948	1.203237198	1.20024819	1.311974926	1.476441976	1.394608442	1.414876338	1.293063764	1.14440881	1.34344506	0.911128356	1.811280526	2.009588766	1.323293258	1.762134142	1.474319192	1.623822864	1.767502446	2.370088852	1.353047632	0.931821946	1.313757914	1.209273272	2.005134462	1.332395472	1.207239296	0.0	0.990917474	1.505406784	1.163579562	0.770866508	2.043960666	1.678678034	1.171083068	1.112422804	1.638211354	1.246061238	1.490566872	1.042155354	1.107351028	1.162903316	1.128145012	1.435695402	1.394767424	1.05608449	1.15837072	1.791157428	1.260160528	1.186697122
H0211	1.388164334	1.032034364	0.847596782	1.071331588	1.35688738	1.271502858	0.765877532	0.934793164	0.894012528	0.860673138	1.954326728	1.227300848	1.246849964	0.97782501	1.55629378	1.74729461	1.233783252	1.503454238	1.253237928	1.109993618	0.960045868	1.013801048	1.320435672	1.336998162	1.165630808	1.118308772	1.180345258	1.142493944	1.55651635	0.71476917	1.537017052	1.941866948	1.244728668	1.9787115	1.152406166	1.353320426	1.578290732	2.296968406	1.37035665	0.844646196	1.60090028	1.400143142	1.822041064	1.221206714	0.978374222	0.990917474	0.0	1.760667002	0.924256332	0.813811466	1.848939184	1.599871068	1.239679318	0.924164718	1.428853776	1.173462728	1.728171522	0.720562832	1.166574114	1.516266774	1.32312303	1.489595092	1.273540474	0.98905088	0.956396126	1.66355317	1.530539826	1.314146124
H0270	1.852009804	1.801595914	1.62017608	1.45013439	1.818895134	1.251656236	1.886854686	1.717455114	1.796223102	1.75398452	2.140171398	1.950124038	1.99231905	1.527996656	1.639757398	1.742583424	1.505687514	1.300277656	1.833233122	1.628128748	1.860594178	1.876950918	1.41623861	1.599174064	1.72692241	1.923747594	1.711629436	1.620516806	1.234712624	1.749083636	2.137766554	2.091575366	1.815732434	1.531801234	2.089172412	1.845608232	2.02504721	2.340169768	1.83190128	1.757312722	1.853535962	1.5235565	2.07591835	1.8501128	1.868532432	1.505406784	1.760667002	0.0	1.789512534	1.479057956	2.105294234	1.938200726	1.404946944	1.791465976	2.148990438	1.865168106	1.204949744	1.83802719	1.545334568	1.291351688	1.611340116	1.720757206	1.832857908	1.699636682	1.900756944	2.05695792	1.419621112	1.364609238
H0277	1.182686658	1.01270608	0.899973414	0.976662512	1.235622388	1.10834697	1.038660284	0.956351636	1.02581614	1.081474054	1.760141732	0.972587104	1.152676944	1.016976078	1.809573092	1.715095274	1.081790752	1.58810305	1.144585592	1.219843854	1.040890696	1.002343412	1.361684768	1.309053738	1.08445698	1.112100736	1.096168362	1.146892672	1.61088351	0.945610226	1.494531516	1.821494956	1.113211768	1.96827854	1.224208618	0.995521606	1.204689108	2.197517946	1.243349438	1.070448844	1.420306512	1.288086342	1.538039212	1.11053397	1.084352618	1.163579562	0.924256332	1.789512534	0.0	1.094505498	1.578761472	1.526065388	1.229406886	1.029082118	1.217635792	1.279986028	1.661033894	1.18735506	1.032044858	1.524274218	1.235618318	1.4182359	1.129034146	1.130787116	1.079214606	1.32679795	1.401112922	1.291247004
H0280	1.369377788	1.091825578	0.977808236	0.973473714	1.314152062	1.082050964	0.932680414	0.986075538	0.945129166	0.952102972	1.98810021	1.350575862	1.429833946	1.033051744	1.434418298	1.71415998	1.16780777	1.306520532	1.330785114	1.153666936	1.100369054	1.063189506	1.232363318	1.366996148	1.276808674	1.224683986	1.256311796	1.095402818	1.32939762	0.837633572	1.685351318	1.961645794	1.268875898	1.79140763	1.346242916	1.53192878	1.679045486	2.300781208	1.35640582	0.899873466	1.536834286	1.221329716	1.907101882	1.280052576	1.130875704	0.770866508	0.813811466	1.479057956	1.094505498	0.0	1.936665546	1.596874166	1.212604584	1.050407936	1.531561698	1.253079218	1.429005448	0.953630502	1.126623876	1.182901704	1.275246212	1.46343947	1.290881016	1.035946054	1.077955372	1.718381108	1.31620328	1.202468426
