response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Staphylococcaceae__g_Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Thermoactinomycetaceae_1__g_Desmospora	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_unassigned__g_unassigned	0.00	0.00	0.00	0.18	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Carnobacteriaceae__g_Atopococcus	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Carnobacteriaceae__g_Carnobacterium	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Carnobacteriaceae__g_Granulicatella	0.04	0.06	0.06	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.14	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Enterococcaceae__g_Enterococcus	 0.00	 0.02	 0.96	 0.00	 0.00	 0.00	 0.00	26.34	 0.00	 0.00	 0.02	 0.04
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Lactobacillaceae__g_Lactobacillus	0.10	0.10	0.32	0.02	0.34	0.12	0.00	0.04	1.54	0.00	0.02	0.10
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Leuconostocaceae__g_Fructobacillus	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Leuconostocaceae__g_Leuconostoc	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Leuconostocaceae__g_Weissella	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Streptococcaceae__g_Lactococcus	0.00	0.16	0.00	0.00	0.14	0.08	0.00	0.10	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Streptococcaceae__g_Streptococcus	 5.54	 5.74	10.48	 0.16	 0.48	 4.72	 0.02	 0.50	13.12	 0.20	 0.54	 0.40
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Streptococcaceae__g_unassigned	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_unassigned__g_unassigned	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_unassigned__f_unassigned__g_unassigned	1.36	0.08	1.12	0.04	0.80	0.58	0.26	0.50	0.04	0.00	0.78	0.08
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiaceae_1__g_Anaerosporobacter	0.00	0.78	0.30	0.12	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiaceae_1__g_Clostridium_sensu_stricto	15.56	 0.02	 0.04	 2.18	 0.14	 0.62	 0.64	 0.00	 0.04	 0.00	 0.00	 0.02
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiaceae_1__g_unassigned	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiaceae_2__g_Anaerovirgula	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiaceae_4__g_Geosporobacter	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_IV__g_Mahella	0.00	0.04	0.18	0.02	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XI__g_Anaerococcus	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XI__g_Finegoldia	0	0	0	0	0	0	0	0	0	0	0	0
