response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
K00645	4417.74	4052.00	4176.10	3382.30	3881.66	4210.65	2680.33
K00647	 192.77	  12.43	1018.00	 237.10	 545.21	1432.50	  11.88
K00648	4577.06	3957.51	4775.47	3292.25	3926.74	4649.90	2644.33
K00651	4208.33	3894.00	3803.61	4479.29	3873.00	4085.65	2643.00
K00652	 681.27	 372.86	1168.51	1003.94	 646.42	2094.50	  43.11
K00655	5533.90	5885.17	5143.77	4361.87	5644.57	6143.98	2988.58
K00656	 7778.29	 9828.64	 7129.56	11836.38	 9041.04	 7371.31	 8814.31
K00657	 577.50	 504.77	1121.54	 695.98	 375.62	2584.75	 803.58
K00658	156.51	228.43	221.13	338.01	 78.96	 52.25	 22.08
K00661	4210.87	4940.02	4364.34	4708.04	5526.50	5184.56	4669.00
K00662	  30.00	  87.33	   8.00	1327.00	  12.00	   1.00	   9.00
K00666	 396.40	 391.46	 644.11	 750.67	 366.46	1207.24	 100.78
K00673	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
K00674	 674.50	 819.66	 612.73	2235.82	1093.75	 160.07	2058.50
K00675	 21.00	193.43	  0.00	331.25	 31.21	 45.00	 43.58
K00677	 898.09	 374.43	1444.59	1032.96	 674.70	2185.50	  29.41
K00680	1011.62	 917.99	 698.88	1016.34	 230.58	 866.00	 944.50
K00681	  69.90	 113.43	 110.00	1368.00	  52.46	  67.00	  87.43
K00684	 228.67	   5.43	 519.33	 177.30	 291.21	1044.50	  16.08
K00685	 4	 2	50	 3	12	 0	 2
K00686	2	0	0	1	0	0	0
K00687	 69.16	118.23	  1.40	 14.57	137.46	  3.07	  8.67
K00688	6494.42	6667.00	6284.75	6261.25	6593.84	7539.38	3214.00
K00689	103.67	195.46	  2.80	  3.60	324.93	  2.80	  6.67
K00690	 671.16	1587.93	 695.00	 801.17	1394.12	1433.67	 183.28
K00691	168.25	 48.00	179.50	373.00	 93.00	429.00	 12.00
K00692	1	0	0	0	0	0	0
K00694	 4.00	35.43	50.00	 7.00	57.46	 3.00	 4.68
K00697	 0.50	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
K00700	4890.40	6483.51	5422.43	5372.04	5488.50	6171.48	2994.50
K00702	300.00	572.83	349.00	354.30	154.50	496.00	116.50
K00703	4742.57	4056.50	4071.44	4471.46	4396.17	4172.15	2635.50
K00705	4305.23	6493.01	4630.60	5086.45	5200.58	5660.48	2902.50
K00712	13.83	85.50	 2.00	12.17	19.16	 0.67	10.67
K00720	6.83	9.00	0.00	4.67	1.33	0.67	5.00
K00721	1145.55	 821.51	1544.01	 835.07	1730.99	1965.08	 114.33
K00728	0	0	0	0	0	0	1
K00737	17	 7	27	11	 3	 6	 0
K00748	 556.48	 207.43	 978.21	 525.98	 386.95	1139.75	  19.41
K00752	38	29	 0	12	 2	 3	 2
K00754	109.00	148.33	246.33	277.00	172.00	648.00	  2.00
K00756	2639.39	2877.07	1819.06	1705.48	1587.71	1594.40	2400.42
K00757	1697.51	2515.94	2494.54	3205.31	2127.28	4089.08	 464.41
K00758	 5.00	 5.43	 2.00	 0.00	34.21	 1.00	 2.08
K00759	3713.36	3769.00	3706.06	3842.03	3335.07	3463.15	2473.83
K00760	4403.57	3564.00	4173.77	3950.21	3882.90	4196.65	1923.58
K00761	4410.57	3983.33	4108.44	4491.96	3891.82	4178.65	2657.33
K00762	5391.90	5044.51	5586.43	5536.29	5774.32	6691.98	2875.33
K00763	4228.86	4115.00	3507.14	4557.90	3609.40	3501.15	2667.33
K00764	5995.81	5841.51	5668.81	8477.77	6573.07	6881.23	4937.33
K00765	4016.08	3761.77	3837.87	4438.56	3426.12	4107.08	2599.75
K00766	2540.65	2454.07	2800.44	2706.88	3244.04	3471.15	2372.17
K00767	3385.51	2332.77	3398.37	2836.56	2765.04	3435.08	1754.33
K00768	3219.51	2814.27	3564.12	2094.56	2715.69	3673.83	 580.99
K00769	 11.74	  6.43	 57.33	302.67	 40.21	  0.00	  3.08
K00772	633.33	 41.01	360.66	 23.33	 53.99	 42.33	 33.33
